name,n_original_sents,n_generated_sents,split_type,model_name,emb_dimension,batch_size,SCORE_left,SCORE_left_stdev,SCORE_left_median,SCORE_right,SCORE_right_stdev,SCORE_right_median,execution_time
lonquen/neighbors/langchain/gpt-4o-mini,572,87,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.6264,0.1061,0.6307,0.5381,0.0823,0.5461,1.4051
lonquen/neighbors/langchain/gpt-4o-mini,572,87,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.5336,0.1377,0.5536,0.4562,0.109,0.4305,0.9882
lonquen/neighbors/langchain/gpt-4o-mini,572,87,chunks,distiluse-base-multilingual-cased-v1,512,64,0.734,0.1235,0.7421,0.6348,0.1117,0.6162,0.6971
lonquen/neighbors/langchain/gpt-4o,572,121,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5936,0.1001,0.5982,0.5091,0.0824,0.5021,1.0255
lonquen/neighbors/langchain/gpt-4o,572,121,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.5017,0.1148,0.506,0.3942,0.0969,0.3771,1.0033
lonquen/neighbors/langchain/gpt-4o,572,121,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6833,0.1167,0.6747,0.575,0.0988,0.554,0.6314
lonquen/neighbors/langchain/o3-mini,572,96,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5635,0.1096,0.5673,0.4653,0.1173,0.4678,1.085
lonquen/neighbors/langchain/o3-mini,572,96,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4685,0.1283,0.4783,0.3748,0.1327,0.3395,0.9934
lonquen/neighbors/langchain/o3-mini,572,96,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6709,0.1257,0.6769,0.5693,0.1325,0.538,0.6492
lonquen/neighbors/original/gpt-4o-mini,572,188,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5501,0.0934,0.5526,0.4499,0.0763,0.4454,1.3427
lonquen/neighbors/original/gpt-4o-mini,572,188,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4427,0.106,0.4426,0.3349,0.0832,0.3297,1.1823
lonquen/neighbors/original/gpt-4o-mini,572,188,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6278,0.1106,0.6196,0.5446,0.0869,0.5527,0.7421
lonquen/neighbors/original/gpt-4o,572,230,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5312,0.0929,0.535,0.4387,0.0781,0.4277,1.4108
lonquen/neighbors/original/gpt-4o,572,230,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4249,0.1064,0.4204,0.3362,0.0961,0.326,1.3413
lonquen/neighbors/original/gpt-4o,572,230,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6131,0.1082,0.6085,0.5375,0.0922,0.5307,0.8441
lonquen/neighbors/original/o3-mini,572,214,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5446,0.0908,0.5495,0.4832,0.0895,0.474,1.4574
lonquen/neighbors/original/o3-mini,572,214,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4503,0.112,0.4536,0.3769,0.1145,0.3573,1.3406
lonquen/neighbors/original/o3-mini,572,214,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6293,0.1158,0.6289,0.569,0.1192,0.5667,0.8198
lonquen/neighbors/original/gpt-3.5-turbo,572,165,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5532,0.0984,0.5601,0.4686,0.0868,0.4607,1.259
lonquen/neighbors/original/gpt-3.5-turbo,572,165,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4472,0.1031,0.4464,0.3693,0.0994,0.3514,1.2006
lonquen/neighbors/original/gpt-3.5-turbo,572,165,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6333,0.1087,0.6348,0.5627,0.1006,0.5568,0.7341
lonquen/neighbors/original_res/gpt-4o-mini,572,169,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5531,0.0917,0.5588,0.4542,0.0792,0.4496,1.2672
lonquen/neighbors/original_res/gpt-4o-mini,572,169,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4443,0.1034,0.4454,0.345,0.0859,0.3362,1.1646
lonquen/neighbors/original_res/gpt-4o-mini,572,169,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6276,0.1092,0.6249,0.5471,0.0956,0.5534,0.7333
lonquen/neighbors/original_res/gpt-4o,572,198,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5372,0.0957,0.5346,0.4416,0.0829,0.4323,1.4169
lonquen/neighbors/original_res/gpt-4o,572,198,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4306,0.1063,0.4296,0.3406,0.097,0.3243,1.368
lonquen/neighbors/original_res/gpt-4o,572,198,chunks,distiluse-base-multilingual-cased-v1,512,64,0.614,0.1103,0.6043,0.5418,0.0996,0.535,0.8346
lonquen/neighbors/original/o3-mini,572,214,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5446,0.0908,0.5495,0.4832,0.0895,0.474,1.4055
lonquen/neighbors/original/o3-mini,572,214,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4503,0.112,0.4536,0.3769,0.1145,0.3573,1.4088
lonquen/neighbors/original/o3-mini,572,214,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6293,0.1158,0.6289,0.569,0.1192,0.5667,0.809
lonquen/neighbors/original/gpt-3.5-turbo,572,165,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5532,0.0984,0.5601,0.4686,0.0868,0.4607,1.2277
lonquen/neighbors/original/gpt-3.5-turbo,572,165,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4472,0.1031,0.4464,0.3693,0.0994,0.3514,1.1577
lonquen/neighbors/original/gpt-3.5-turbo,572,165,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6333,0.1087,0.6348,0.5627,0.1006,0.5568,0.829
lonquen/neighbors/langchain/gpt-4o-mini,225,87,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.588,0.1155,0.5767,0.5857,0.0952,0.5928,1.5075
lonquen/neighbors/langchain/gpt-4o-mini,225,87,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5529,0.1369,0.5568,0.4839,0.0994,0.4772,0.9038
lonquen/neighbors/langchain/gpt-4o-mini,225,87,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7095,0.124,0.6953,0.6668,0.1158,0.6484,0.5791
lonquen/neighbors/langchain/gpt-4o,225,121,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5601,0.1048,0.5461,0.5399,0.0969,0.5404,1.3717
lonquen/neighbors/langchain/gpt-4o,225,121,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5193,0.1219,0.5109,0.4494,0.0882,0.4355,0.9329
lonquen/neighbors/langchain/gpt-4o,225,121,sentences,distiluse-base-multilingual-cased-v1,512,64,0.658,0.1273,0.6398,0.5892,0.107,0.5752,0.5317
lonquen/neighbors/langchain/o3-mini,225,96,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5236,0.1223,0.5252,0.51,0.1176,0.5016,1.4237
