name,n_original_sents,n_generated_sents,split_type,model_name,emb_dimension,batch_size,SCORE_left,SCORE_left_stdev,SCORE_left_median,SCORE_right,SCORE_right_stdev,SCORE_right_median,execution_time
20_docs/langchain/gpt-4o-mini,2262,463,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5439,0.1316,0.5563,0.4018,0.0968,0.405,4.5684
20_docs/langchain/gpt-4o-mini,2262,463,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4481,0.146,0.4483,0.3064,0.072,0.3059,3.8562
20_docs/langchain/gpt-4o-mini,2262,463,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6443,0.1478,0.6541,0.4842,0.0932,0.4917,2.1689
20_docs/langchain/gpt-4o,2262,524,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5417,0.1275,0.5433,0.4149,0.1078,0.4207,4.7552
20_docs/langchain/gpt-4o,2262,524,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4518,0.1324,0.4501,0.3282,0.0851,0.321,3.876
20_docs/langchain/gpt-4o,2262,524,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6454,0.1452,0.6567,0.4969,0.0955,0.5029,2.1363
20_docs/langchain/o3-mini,2262,857,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5152,0.1418,0.5103,0.3914,0.0946,0.3893,5.0307
20_docs/langchain/o3-mini,2262,857,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4316,0.1543,0.4229,0.3026,0.0784,0.3002,4.193
20_docs/langchain/o3-mini,2262,857,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6173,0.1615,0.6275,0.4734,0.0904,0.4737,2.3409
20_docs/original/gpt-4o-mini,2262,2153,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5033,0.121,0.5007,0.4403,0.0914,0.4357,5.7781
20_docs/original/gpt-4o-mini,2262,2153,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4012,0.1286,0.3934,0.3319,0.0791,0.3256,5.2517
20_docs/original/gpt-4o-mini,2262,2153,sentences,distiluse-base-multilingual-cased-v1,512,64,0.5912,0.1481,0.598,0.4953,0.0859,0.4996,2.6943
20_docs/original/gpt-4o,2262,2041,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5079,0.1277,0.5023,0.4411,0.0885,0.4388,5.8972
20_docs/original/gpt-4o,2262,2041,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4134,0.1403,0.3992,0.3338,0.0761,0.3274,4.9825
20_docs/original/gpt-4o,2262,2041,sentences,distiluse-base-multilingual-cased-v1,512,64,0.5917,0.149,0.5906,0.4927,0.086,0.4979,2.7125
20_docs/original/o3-mini,2262,1425,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5091,0.1292,0.5088,0.4507,0.0927,0.451,5.3939
20_docs/original/o3-mini,2262,1425,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4118,0.1332,0.4028,0.3408,0.0782,0.3376,4.5578
20_docs/original/o3-mini,2262,1425,sentences,distiluse-base-multilingual-cased-v1,512,64,0.5983,0.1537,0.6033,0.4927,0.0931,0.4984,2.4273
20_docs/original/gpt-3,2262,1696,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4961,0.1269,0.4993,0.4539,0.1001,0.452,5.3298
20_docs/original/gpt-3,2262,1696,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.3865,0.1241,0.3819,0.347,0.0866,0.3402,4.6781
20_docs/original/gpt-3,2262,1696,sentences,distiluse-base-multilingual-cased-v1,512,64,0.5754,0.1545,0.5893,0.5055,0.0969,0.5112,2.4841
20_docs/original_res/gpt-4o-mini,2262,1756,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5071,0.1203,0.5052,0.4421,0.0925,0.4379,5.57
20_docs/original_res/gpt-4o-mini,2262,1756,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4042,0.1289,0.3949,0.3331,0.0765,0.3278,4.8
20_docs/original_res/gpt-4o-mini,2262,1756,sentences,distiluse-base-multilingual-cased-v1,512,64,0.5962,0.1473,0.6022,0.4979,0.0858,0.5029,2.6131
20_docs/original_res/gpt-4o,2262,1721,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5117,0.1271,0.5046,0.4419,0.0892,0.4397,5.4691
20_docs/original_res/gpt-4o,2262,1721,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4195,0.1402,0.401,0.3358,0.0756,0.3289,4.7508
20_docs/original_res/gpt-4o,2262,1721,sentences,distiluse-base-multilingual-cased-v1,512,64,0.5941,0.1473,0.5914,0.4987,0.0842,0.5029,2.5654
20_docs/original_res/o3-mini,2262,1244,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5115,0.1308,0.5072,0.4497,0.0941,0.4502,5.089
