name,n_original_sents,n_generated_sents,split_type,model_name,emb_dimension,batch_size,SCORE_left,SCORE_left_stdev,SCORE_left_median,SCORE_right,SCORE_right_stdev,SCORE_right_median,execution_time
lonquen/langchain/gpt-4o-mini,2262,100,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.7136,0.1145,0.7172,0.4959,0.0637,0.5114,4.3125
lonquen/langchain/gpt-4o-mini,2262,100,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.6261,0.126,0.6482,0.3627,0.0732,0.3524,3.5509
lonquen/langchain/gpt-4o-mini,2262,100,sentences,distiluse-base-multilingual-cased-v1,512,64,0.8141,0.1013,0.8235,0.5897,0.053,0.5931,1.9999
lonquen/langchain/gpt-4o,2262,151,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6428,0.1149,0.6425,0.5187,0.0625,0.5313,4.4091
lonquen/langchain/gpt-4o,2262,151,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.545,0.1258,0.5386,0.3658,0.0817,0.355,3.704
lonquen/langchain/gpt-4o,2262,151,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7495,0.1113,0.7506,0.5776,0.066,0.582,2.01
lonquen/langchain/o3-mini,2262,107,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6559,0.1143,0.6584,0.4558,0.0881,0.4571,4.4704
lonquen/langchain/o3-mini,2262,107,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5743,0.1225,0.585,0.384,0.0878,0.3633,3.5798
lonquen/langchain/o3-mini,2262,107,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7604,0.1077,0.7677,0.5856,0.0505,0.5833,1.9363
lonquen/original/gpt-4o-mini,2262,450,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5937,0.0972,0.5889,0.4891,0.0762,0.494,4.6235
lonquen/original/gpt-4o-mini,2262,450,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5033,0.1016,0.4975,0.385,0.0696,0.3733,3.865
lonquen/original/gpt-4o-mini,2262,450,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7153,0.0996,0.7142,0.5776,0.0653,0.5751,2.0683
lonquen/original/gpt-4o,2262,488,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5809,0.1091,0.5832,0.4814,0.082,0.4896,4.5373
lonquen/original/gpt-4o,2262,488,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.51,0.1045,0.5081,0.3934,0.0723,0.3824,3.8335
lonquen/original/gpt-4o,2262,488,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7072,0.0988,0.6988,0.5783,0.0655,0.5776,2.0947
lonquen/original/o3-mini,2262,484,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6028,0.0943,0.601,0.5001,0.0762,0.5054,4.5412
lonquen/original/o3-mini,2262,484,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5213,0.104,0.5159,0.3971,0.0661,0.3932,3.8694
lonquen/original/o3-mini,2262,484,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7211,0.0949,0.7178,0.5868,0.0562,0.5886,2.1158
lonquen/original/gpt-3,2262,332,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6053,0.0951,0.6069,0.4969,0.0696,0.4989,4.5017
lonquen/original/gpt-3,2262,332,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5019,0.0988,0.4951,0.4039,0.0751,0.392,3.9075
lonquen/original/gpt-3,2262,332,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7234,0.0946,0.7215,0.5918,0.0603,0.5925,2.0339
lonquen/original_res/gpt-4o-mini,2262,400,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5953,0.0972,0.5905,0.4859,0.0769,0.4904,4.5446
lonquen/original_res/gpt-4o-mini,2262,400,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5069,0.1049,0.4984,0.3791,0.0686,0.3686,3.775
lonquen/original_res/gpt-4o-mini,2262,400,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7172,0.1002,0.7153,0.572,0.0624,0.571,2.0708
lonquen/original_res/gpt-4o,2262,430,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5874,0.1089,0.5896,0.4861,0.0813,0.4919,4.5094
lonquen/original_res/gpt-4o,2262,430,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5165,0.1047,0.5182,0.3894,0.0683,0.3802,3.7624
lonquen/original_res/gpt-4o,2262,430,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7122,0.0984,0.7059,0.5747,0.0638,0.5772,2.0632
lonquen/original_res/o3-mini,2262,443,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6101,0.0956,0.6105,0.498,0.0766,0.5054,4.5305
lonquen/original_res/o3-mini,2262,443,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5257,0.1045,0.5226,0.3963,0.0666,0.3923,3.7681
lonquen/original_res/o3-mini,2262,443,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7311,0.0978,0.729,0.5869,0.0559,0.5886,2.0566
lonquen/original_res/gpt-3,2262,286,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6086,0.0951,0.6111,0.4959,0.0702,0.4992,4.3945
lonquen/original_res/gpt-3,2262,286,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5026,0.0995,0.4963,0.4023,0.0754,0.3927,3.6502
lonquen/original_res/gpt-3,2262,286,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7218,0.0947,0.7189,0.5879,0.0607,0.5887,2.0658
lonquen/langchain/gpt-4o-mini,4349,100,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.7108,0.1177,0.7242,0.466,0.0738,0.4771,4.8572
lonquen/langchain/gpt-4o-mini,4349,100,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.6037,0.1286,0.6185,0.347,0.068,0.3315,4.8989
lonquen/langchain/gpt-4o-mini,4349,100,chunks,distiluse-base-multilingual-cased-v1,512,64,0.8201,0.1039,0.8264,0.5719,0.0543,0.573,2.7545
lonquen/langchain/gpt-4o,4349,151,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.6492,0.1136,0.6562,0.4793,0.0756,0.4967,4.9809
lonquen/langchain/gpt-4o,4349,151,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.5316,0.1244,0.528,0.3345,0.077,0.3218,4.8823
