name,n_original_sents,n_generated_sents,split_type,model_name,emb_dimension,batch_size,SCORE_left,SCORE_left_stdev,SCORE_left_median,SCORE_right,SCORE_right_stdev,SCORE_right_median,execution_time
20_docs/neighbors/langchain/gpt-4o-mini,2262,402,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5583,0.1203,0.5563,0.4559,0.0875,0.4953,5.5902
20_docs/neighbors/langchain/gpt-4o-mini,2262,402,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4711,0.1343,0.4637,0.414,0.1364,0.373,4.5836
20_docs/neighbors/langchain/gpt-4o-mini,2262,402,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6708,0.1401,0.6724,0.5797,0.1342,0.5576,2.5195
20_docs/neighbors/langchain/gpt-4o,2262,467,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5495,0.1301,0.5484,0.4506,0.0921,0.4956,5.7391
20_docs/neighbors/langchain/gpt-4o,2262,467,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.478,0.1318,0.4696,0.4252,0.1329,0.3921,4.8966
20_docs/neighbors/langchain/gpt-4o,2262,467,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6706,0.1389,0.6726,0.5875,0.1304,0.5634,2.6088
20_docs/neighbors/langchain/o3-mini,2262,636,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5337,0.1232,0.5355,0.4397,0.0901,0.4586,6.0665
20_docs/neighbors/langchain/o3-mini,2262,636,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4465,0.134,0.4313,0.4029,0.1345,0.3612,5.236
20_docs/neighbors/langchain/o3-mini,2262,636,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6522,0.1455,0.6518,0.5676,0.1305,0.5311,2.9129
20_docs/neighbors/original/gpt-4o-mini,2262,915,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5191,0.1171,0.5154,0.4122,0.0773,0.4117,6.8949
20_docs/neighbors/original/gpt-4o-mini,2262,915,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.434,0.1296,0.4239,0.3498,0.0974,0.3338,6.1988
20_docs/neighbors/original/gpt-4o-mini,2262,915,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6193,0.1413,0.6109,0.5196,0.0968,0.5141,3.3803
20_docs/neighbors/original/gpt-4o,2262,905,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5178,0.1221,0.5148,0.4168,0.0799,0.4182,6.9845
20_docs/neighbors/original/gpt-4o,2262,905,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4414,0.1313,0.4288,0.3565,0.0996,0.3376,6.2279
20_docs/neighbors/original/gpt-4o,2262,905,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6252,0.1438,0.615,0.5213,0.1003,0.5133,3.3211
20_docs/neighbors/original/o3-mini,2262,814,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5255,0.1168,0.5283,0.4448,0.0814,0.4498,6.6918
20_docs/neighbors/original/o3-mini,2262,814,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4445,0.1264,0.4272,0.3908,0.112,0.3678,5.8358
20_docs/neighbors/original/o3-mini,2262,814,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6245,0.1394,0.6161,0.5537,0.111,0.537,3.2713
20_docs/neighbors/original/gpt-3.5-turbo,2262,762,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5192,0.1131,0.5177,0.4426,0.0844,0.4525,6.5288
20_docs/neighbors/original/gpt-3.5-turbo,2262,762,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4345,0.1232,0.4141,0.3909,0.1072,0.3733,5.6691
20_docs/neighbors/original/gpt-3.5-turbo,2262,762,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6211,0.1286,0.6079,0.5545,0.102,0.5393,3.1519
20_docs/neighbors/original_res/gpt-4o-mini,2262,817,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5198,0.1195,0.5146,0.4144,0.0806,0.4154,6.7301
20_docs/neighbors/original_res/gpt-4o-mini,2262,817,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4382,0.1296,0.4215,0.3586,0.1041,0.339,5.7886
20_docs/neighbors/original_res/gpt-4o-mini,2262,817,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6232,0.1374,0.6119,0.5286,0.1037,0.5169,3.2218
20_docs/neighbors/original_res/gpt-4o,2262,816,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5322,0.1214,0.5306,0.4253,0.0799,0.4276,6.6332
20_docs/neighbors/original_res/gpt-4o,2262,816,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4496,0.1316,0.4354,0.3676,0.1048,0.3493,5.7449
20_docs/neighbors/original_res/gpt-4o,2262,816,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6289,0.1412,0.6174,0.5313,0.1075,0.5226,3.1697
20_docs/neighbors/original/o3-mini,2262,814,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5255,0.1168,0.5283,0.4448,0.0814,0.4498,6.8686
20_docs/neighbors/original/o3-mini,2262,814,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4445,0.1264,0.4272,0.3908,0.112,0.3678,5.7666
20_docs/neighbors/original/o3-mini,2262,814,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6245,0.1394,0.6161,0.5537,0.111,0.537,3.1382
20_docs/neighbors/original/gpt-3.5-turbo,2262,762,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5192,0.1131,0.5177,0.4426,0.0844,0.4525,6.559
20_docs/neighbors/original/gpt-3.5-turbo,2262,762,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4345,0.1232,0.4141,0.3909,0.1072,0.3733,5.6366
20_docs/neighbors/original/gpt-3.5-turbo,2262,762,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6211,0.1286,0.6079,0.5545,0.102,0.5393,3.183
20_docs/neighbors/langchain/gpt-4o-mini,4349,402,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.569,0.1047,0.5767,0.4409,0.0769,0.4745,6.1647
20_docs/neighbors/langchain/gpt-4o-mini,4349,402,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4564,0.1233,0.4506,0.369,0.1267,0.3297,5.9621
20_docs/neighbors/langchain/gpt-4o-mini,4349,402,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6899,0.1251,0.6968,0.5738,0.1292,0.5463,3.3616
20_docs/neighbors/langchain/gpt-4o,4349,467,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5544,0.1118,0.5597,0.4384,0.0798,0.4723,6.2872
20_docs/neighbors/langchain/gpt-4o,4349,467,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4604,0.1204,0.4543,0.3774,0.1235,0.3461,6.2002
20_docs/neighbors/langchain/gpt-4o,4349,467,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6881,0.1229,0.6929,0.5769,0.1292,0.564,3.374
20_docs/neighbors/langchain/o3-mini,4349,636,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5461,0.107,0.5493,0.4299,0.0776,0.4494,6.6964
20_docs/neighbors/langchain/o3-mini,4349,636,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4341,0.1214,0.4214,0.3601,0.1227,0.3165,6.585
20_docs/neighbors/langchain/o3-mini,4349,636,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6715,0.1303,0.6723,0.5622,0.1264,0.5371,3.6743
20_docs/neighbors/original/gpt-4o-mini,4349,915,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5283,0.1055,0.5296,0.4093,0.0711,0.4112,7.5008
20_docs/neighbors/original/gpt-4o-mini,4349,915,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4178,0.1187,0.4072,0.3089,0.0908,0.294,7.4622
20_docs/neighbors/original/gpt-4o-mini,4349,915,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6388,0.1272,0.6413,0.5065,0.0965,0.4996,4.0766
20_docs/neighbors/original/gpt-4o,4349,905,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5303,0.1065,0.5307,0.4135,0.0713,0.4202,7.4711
20_docs/neighbors/original/gpt-4o,4349,905,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4247,0.1191,0.4109,0.3153,0.0928,0.3025,7.3883
20_docs/neighbors/original/gpt-4o,4349,905,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6437,0.13,0.6464,0.51,0.1015,0.5011,4.0683
20_docs/neighbors/original/o3-mini,4349,814,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5333,0.1027,0.5359,0.4356,0.0767,0.4486,7.1791
20_docs/neighbors/original/o3-mini,4349,814,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4282,0.1162,0.4164,0.3454,0.1065,0.3245,7.0953
20_docs/neighbors/original/o3-mini,4349,814,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6448,0.129,0.6462,0.5392,0.1162,0.5257,3.8825
20_docs/neighbors/original/gpt-3.5-turbo,4349,762,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5311,0.0987,0.5324,0.4336,0.0728,0.4391,7.0236
20_docs/neighbors/original/gpt-3.5-turbo,4349,762,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4216,0.1147,0.4078,0.3471,0.1003,0.3324,6.9577
