name,n_original_sents,n_generated_sents,split_type,model_name,emb_dimension,batch_size,SCORE_left,SCORE_left_stdev,SCORE_left_median,SCORE_right,SCORE_right_stdev,SCORE_right_median,execution_time
san_gregorio/langchain/gpt-4o-mini,225,60,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6343,0.0931,0.6386,0.5348,0.063,0.529,1.0004
san_gregorio/langchain/gpt-4o-mini,225,60,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5948,0.1176,0.6081,0.4345,0.0829,0.4121,0.6125
san_gregorio/langchain/gpt-4o-mini,225,60,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7897,0.0834,0.7997,0.6977,0.0601,0.7017,0.3737
san_gregorio/langchain/gpt-4o,225,67,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.653,0.0925,0.6606,0.5675,0.0747,0.5654,1.0692
san_gregorio/langchain/gpt-4o,225,67,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.6184,0.1236,0.6335,0.4405,0.0725,0.4282,0.7032
san_gregorio/langchain/gpt-4o,225,67,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7919,0.0944,0.7918,0.6812,0.0716,0.685,0.4234
san_gregorio/langchain/o3-mini,225,97,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.611,0.0944,0.6097,0.52,0.0796,0.5163,1.1147
san_gregorio/langchain/o3-mini,225,97,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5622,0.1166,0.5645,0.4358,0.0829,0.4234,0.7282
san_gregorio/langchain/o3-mini,225,97,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7471,0.0889,0.7577,0.6654,0.0694,0.6489,0.421
san_gregorio/original/gpt-4o-mini,225,434,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5444,0.0876,0.5439,0.546,0.0823,0.5451,1.2763
san_gregorio/original/gpt-4o-mini,225,434,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4965,0.1068,0.4954,0.4418,0.0827,0.433,0.9383
san_gregorio/original/gpt-4o-mini,225,434,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6671,0.091,0.6675,0.6514,0.0778,0.6583,0.5162
san_gregorio/original/gpt-4o,225,447,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.543,0.0902,0.5393,0.5194,0.0773,0.5168,1.3174
san_gregorio/original/gpt-4o,225,447,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4959,0.1164,0.4985,0.4188,0.0831,0.4113,0.9533
san_gregorio/original/gpt-4o,225,447,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6743,0.1013,0.6825,0.6323,0.0862,0.6401,0.6261
san_gregorio/original/o3-mini,225,290,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5602,0.0935,0.5597,0.5327,0.0839,0.5344,1.2047
san_gregorio/original/o3-mini,225,290,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5265,0.11,0.5211,0.441,0.0757,0.4306,0.8346
san_gregorio/original/o3-mini,225,290,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7007,0.0768,0.7031,0.6668,0.055,0.6647,0.4866
san_gregorio/original/gpt-3.5-turbo,225,280,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5525,0.0926,0.5564,0.5172,0.0875,0.5068,1.2216
