name,n_original_sents,n_generated_sents,split_type,model_name,emb_dimension,batch_size,SCORE_left,SCORE_left_stdev,SCORE_left_median,SCORE_right,SCORE_right_stdev,SCORE_right_median,execution_time
20_docs/langchain/gpt-4o-mini,225,463,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5422,0.1065,0.5393,0.5424,0.0968,0.5444,1.3809
20_docs/langchain/gpt-4o-mini,225,463,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5039,0.1077,0.5038,0.4731,0.0801,0.4619,0.9785
20_docs/langchain/gpt-4o-mini,225,463,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6834,0.081,0.6818,0.6765,0.0678,0.6775,0.6316
20_docs/langchain/gpt-4o,225,524,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5467,0.1059,0.5524,0.5393,0.1008,0.5422,1.4957
20_docs/langchain/gpt-4o,225,524,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5059,0.0946,0.503,0.4936,0.0856,0.4865,1.0349
20_docs/langchain/gpt-4o,225,524,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6885,0.0803,0.6998,0.694,0.0696,0.6956,0.6348
20_docs/langchain/o3-mini,225,857,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5189,0.1066,0.5047,0.5158,0.0957,0.5177,1.8029
20_docs/langchain/o3-mini,225,857,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4816,0.1051,0.4789,0.4734,0.0832,0.4662,1.372
20_docs/langchain/o3-mini,225,857,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6583,0.0835,0.6573,0.6701,0.0735,0.6641,0.8619
20_docs/original/gpt-4o-mini,225,2153,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4912,0.0885,0.4853,0.5522,0.0901,0.554,2.5478
20_docs/original/gpt-4o-mini,225,2153,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4425,0.0945,0.4367,0.4783,0.0823,0.4735,2.276
20_docs/original/gpt-4o-mini,225,2153,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6309,0.0844,0.6374,0.6619,0.0742,0.664,1.2921
20_docs/original/gpt-4o,225,2041,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4963,0.0891,0.4928,0.5481,0.0864,0.5464,2.5792
20_docs/original/gpt-4o,225,2041,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4449,0.0939,0.4406,0.4747,0.0818,0.4688,2.1727
20_docs/original/gpt-4o,225,2041,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6252,0.0856,0.6243,0.6646,0.0734,0.6675,1.3056
20_docs/original/o3-mini,225,1425,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5046,0.0924,0.4979,0.5621,0.0921,0.5627,2.1439
20_docs/original/o3-mini,225,1425,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4581,0.091,0.4448,0.4868,0.0832,0.48,1.6566
20_docs/original/o3-mini,225,1425,sentences,distiluse-base-multilingual-cased-v1,512,64,0.638,0.0884,0.6395,0.6784,0.0691,0.6807,0.9451
20_docs/original/gpt-3,225,1696,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4916,0.0793,0.4917,0.5656,0.095,0.5641,2.1279
20_docs/original/gpt-3,225,1696,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4377,0.0821,0.4357,0.4924,0.085,0.4815,1.7662
20_docs/original/gpt-3,225,1696,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6205,0.0837,0.6231,0.6781,0.0745,0.6781,1.0193
20_docs/original_res/gpt-4o-mini,225,1756,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4935,0.0879,0.487,0.552,0.0898,0.5542,2.2371
20_docs/original_res/gpt-4o-mini,225,1756,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4447,0.0924,0.4349,0.4761,0.0821,0.4712,1.895
20_docs/original_res/gpt-4o-mini,225,1756,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6356,0.08,0.6389,0.6629,0.0715,0.6652,1.081
20_docs/original_res/gpt-4o,225,1721,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4972,0.0891,0.492,0.5482,0.0875,0.548,2.2049
20_docs/original_res/gpt-4o,225,1721,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4462,0.0947,0.4406,0.4744,0.0829,0.4684,1.9524
20_docs/original_res/gpt-4o,225,1721,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6271,0.0853,0.6274,0.6655,0.0737,0.6677,1.0786
20_docs/original_res/o3-mini,225,1244,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5087,0.0934,0.4994,0.5615,0.0914,0.5618,1.9091
20_docs/original_res/o3-mini,225,1244,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4648,0.0925,0.4531,0.4872,0.0853,0.4793,1.5202
20_docs/original_res/o3-mini,225,1244,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6399,0.0873,0.6436,0.6788,0.0696,0.6804,0.8909
20_docs/original_res/gpt-3,225,1362,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4941,0.0801,0.4964,0.5683,0.0922,0.5689,1.8658
20_docs/original_res/gpt-3,225,1362,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4429,0.0833,0.4399,0.4913,0.0814,0.4814,1.5561
20_docs/original_res/gpt-3,225,1362,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6253,0.0813,0.6285,0.68,0.0718,0.6814,0.9266
20_docs/langchain/gpt-4o-mini,572,463,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5558,0.0999,0.5566,0.5131,0.0854,0.5237,0.987
20_docs/langchain/gpt-4o-mini,572,463,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4833,0.1087,0.4796,0.4139,0.083,0.4021,1.087
20_docs/langchain/gpt-4o-mini,572,463,chunks,distiluse-base-multilingual-cased-v1,512,64,0.665,0.0961,0.6719,0.6279,0.0806,0.6305,0.6873
20_docs/langchain/gpt-4o,572,524,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5567,0.098,0.5651,0.506,0.0889,0.5133,1.0501
20_docs/langchain/gpt-4o,572,524,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.466,0.1065,0.4635,0.4319,0.0905,0.4266,1.1159
20_docs/langchain/gpt-4o,572,524,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6726,0.0942,0.6757,0.6395,0.0789,0.6377,0.6882
20_docs/langchain/o3-mini,572,857,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5303,0.1019,0.5363,0.4885,0.0875,0.4962,1.3683
20_docs/langchain/o3-mini,572,857,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4669,0.1094,0.4624,0.4162,0.085,0.4061,1.5108
20_docs/langchain/o3-mini,572,857,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6511,0.0953,0.6523,0.6197,0.0792,0.6144,0.907
20_docs/original/gpt-4o-mini,572,2153,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5068,0.093,0.5189,0.5199,0.0833,0.5269,2.1953
20_docs/original/gpt-4o-mini,572,2153,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4224,0.0913,0.4157,0.424,0.0816,0.4211,2.254
20_docs/original/gpt-4o-mini,572,2153,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6148,0.0915,0.6135,0.6087,0.0777,0.6079,1.2606
20_docs/original/gpt-4o,572,2041,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.504,0.094,0.5087,0.5159,0.0823,0.5194,2.0851
20_docs/original/gpt-4o,572,2041,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4296,0.0957,0.4252,0.4214,0.0802,0.4147,2.2682
20_docs/original/gpt-4o,572,2041,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6104,0.0931,0.605,0.6085,0.0746,0.6093,1.2566
20_docs/original/o3-mini,572,1425,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5122,0.095,0.5211,0.5275,0.0851,0.5325,1.6441
20_docs/original/o3-mini,572,1425,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4364,0.0941,0.4407,0.4334,0.0838,0.4269,1.7236
20_docs/original/o3-mini,572,1425,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6154,0.096,0.6131,0.6218,0.0719,0.6223,0.989
20_docs/original/gpt-3,572,1696,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5001,0.0911,0.512,0.5335,0.0898,0.5371,1.8101
20_docs/original/gpt-3,572,1696,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4105,0.0843,0.4054,0.4323,0.0856,0.4261,1.9138
20_docs/original/gpt-3,572,1696,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6038,0.0917,0.6057,0.6259,0.0832,0.6234,1.1003
20_docs/original_res/gpt-4o-mini,572,1756,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5087,0.0938,0.5202,0.519,0.0834,0.5235,1.8929
20_docs/original_res/gpt-4o-mini,572,1756,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.424,0.0918,0.4197,0.42,0.0813,0.4169,1.9779
20_docs/original_res/gpt-4o-mini,572,1756,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6181,0.0914,0.6185,0.6065,0.0756,0.6056,1.1061
20_docs/original_res/gpt-4o,572,1721,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5067,0.0924,0.5111,0.5156,0.0817,0.5195,1.8702
20_docs/original_res/gpt-4o,572,1721,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4337,0.0955,0.4342,0.4203,0.0816,0.4131,2.1012
20_docs/original_res/gpt-4o,572,1721,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6119,0.0931,0.6055,0.6082,0.0745,0.6087,1.1637
20_docs/original_res/o3-mini,572,1244,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5168,0.094,0.5233,0.5271,0.086,0.5343,1.6174
20_docs/original_res/o3-mini,572,1244,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4424,0.096,0.4436,0.433,0.0864,0.4242,1.7043
20_docs/original_res/o3-mini,572,1244,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6196,0.0957,0.6161,0.622,0.0725,0.6236,0.9429
20_docs/original_res/gpt-3,572,1362,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5052,0.0887,0.5152,0.5358,0.0863,0.5407,1.5454
20_docs/original_res/gpt-3,572,1362,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4159,0.0862,0.4143,0.4314,0.0828,0.4254,1.6534
20_docs/original_res/gpt-3,572,1362,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6116,0.0896,0.6138,0.6246,0.0801,0.6242,0.9493
