name,n_original_sents,n_generated_sents,split_type,model_name,emb_dimension,batch_size,SCORE_left,SCORE_left_stdev,SCORE_left_median,SCORE_right,SCORE_right_stdev,SCORE_right_median,execution_time
lonquen/langchain/gpt-4o-mini,225,100,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6078,0.1215,0.5983,0.4721,0.0794,0.4749,1.2265
lonquen/langchain/gpt-4o-mini,225,100,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5508,0.1463,0.5696,0.3886,0.0689,0.384,0.6891
lonquen/langchain/gpt-4o-mini,225,100,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7145,0.1318,0.7035,0.5825,0.0734,0.5897,0.5099
lonquen/langchain/gpt-4o,225,151,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5639,0.1264,0.5736,0.473,0.0751,0.4797,1.1198
lonquen/langchain/gpt-4o,225,151,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4935,0.1379,0.5004,0.3852,0.0771,0.379,0.7597
lonquen/langchain/gpt-4o,225,151,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6476,0.1265,0.6445,0.5686,0.084,0.5749,0.4333
lonquen/langchain/o3-mini,225,107,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5266,0.137,0.5296,0.4132,0.0852,0.4171,1.0667
lonquen/langchain/o3-mini,225,107,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4819,0.1311,0.4873,0.3608,0.0696,0.3579,0.6971
lonquen/langchain/o3-mini,225,107,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6314,0.1319,0.6347,0.5479,0.0826,0.5575,0.44
lonquen/original/gpt-4o-mini,225,450,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4752,0.1012,0.461,0.4769,0.0817,0.4701,1.3016
lonquen/original/gpt-4o-mini,225,450,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4107,0.1047,0.4088,0.3676,0.0719,0.3663,0.9517
lonquen/original/gpt-4o-mini,225,450,sentences,distiluse-base-multilingual-cased-v1,512,64,0.5906,0.1064,0.5772,0.5523,0.0721,0.5537,0.6191
lonquen/original/gpt-4o,225,488,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4549,0.1112,0.4409,0.4573,0.0833,0.454,1.3377
lonquen/original/gpt-4o,225,488,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4017,0.1101,0.4168,0.374,0.0809,0.3686,0.9901
lonquen/original/gpt-4o,225,488,sentences,distiluse-base-multilingual-cased-v1,512,64,0.5589,0.1131,0.5564,0.546,0.0788,0.5474,0.6219
lonquen/original/o3-mini,225,484,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4911,0.1095,0.4857,0.4744,0.083,0.4688,1.4149
lonquen/original/o3-mini,225,484,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4253,0.1172,0.4205,0.3803,0.0761,0.3815,1.0037
lonquen/original/o3-mini,225,484,sentences,distiluse-base-multilingual-cased-v1,512,64,0.5864,0.1151,0.575,0.561,0.0753,0.5616,0.6416
lonquen/original/gpt-3,225,332,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4836,0.1012,0.4661,0.4795,0.0786,0.4715,1.2143
lonquen/original/gpt-3,225,332,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4153,0.1009,0.4111,0.3886,0.0874,0.3826,0.8631
lonquen/original/gpt-3,225,332,sentences,distiluse-base-multilingual-cased-v1,512,64,0.5941,0.1152,0.5884,0.5714,0.0854,0.5785,0.5136
lonquen/original_res/gpt-4o-mini,225,400,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4796,0.0985,0.4613,0.4773,0.0803,0.4709,1.308
lonquen/original_res/gpt-4o-mini,225,400,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4127,0.1064,0.4053,0.371,0.0704,0.3687,0.913
lonquen/original_res/gpt-4o-mini,225,400,sentences,distiluse-base-multilingual-cased-v1,512,64,0.5949,0.1078,0.581,0.5527,0.0693,0.5516,0.5347
lonquen/original_res/gpt-4o,225,430,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4637,0.1078,0.4459,0.4643,0.0837,0.4579,1.2761
lonquen/original_res/gpt-4o,225,430,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4084,0.1073,0.4202,0.3757,0.0778,0.37,0.9472
lonquen/original_res/gpt-4o,225,430,sentences,distiluse-base-multilingual-cased-v1,512,64,0.5668,0.1109,0.5634,0.5503,0.0726,0.5485,0.5261
lonquen/original_res/o3-mini,225,443,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5065,0.1027,0.4957,0.4713,0.0803,0.4664,1.3145
lonquen/original_res/o3-mini,225,443,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4364,0.12,0.4308,0.3765,0.0754,0.3754,0.9462
lonquen/original_res/o3-mini,225,443,sentences,distiluse-base-multilingual-cased-v1,512,64,0.601,0.1155,0.5932,0.562,0.0746,0.5637,0.5983
lonquen/original_res/gpt-3,225,286,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.4877,0.0993,0.4727,0.4766,0.0779,0.4706,1.1781
lonquen/original_res/gpt-3,225,286,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4208,0.0976,0.4161,0.3899,0.0855,0.3877,0.8401
lonquen/original_res/gpt-3,225,286,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6004,0.1092,0.5949,0.5694,0.0817,0.5785,0.4714
lonquen/langchain/gpt-4o-mini,572,100,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.6127,0.1366,0.6208,0.4027,0.0833,0.4228,0.7139
lonquen/langchain/gpt-4o-mini,572,100,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.5334,0.1516,0.5615,0.3116,0.0781,0.3114,0.7697
lonquen/langchain/gpt-4o-mini,572,100,chunks,distiluse-base-multilingual-cased-v1,512,64,0.7085,0.1564,0.7231,0.4921,0.0773,0.4995,0.519
lonquen/langchain/gpt-4o,572,151,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5605,0.1337,0.566,0.4115,0.0745,0.4251,0.8009
lonquen/langchain/gpt-4o,572,151,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4748,0.1428,0.4835,0.2985,0.0789,0.277,0.8349
lonquen/langchain/gpt-4o,572,151,chunks,distiluse-base-multilingual-cased-v1,512,64,0.633,0.1389,0.6363,0.4831,0.0851,0.4867,0.5535
lonquen/langchain/o3-mini,572,107,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5529,0.1342,0.5588,0.3442,0.0703,0.3425,0.7205
lonquen/langchain/o3-mini,572,107,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.47,0.1418,0.4789,0.2761,0.0748,0.2759,0.7779
lonquen/langchain/o3-mini,572,107,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6228,0.1477,0.6236,0.444,0.0888,0.4498,0.5195
lonquen/original/gpt-4o-mini,572,450,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.4829,0.1155,0.4828,0.4128,0.082,0.415,0.9582
lonquen/original/gpt-4o-mini,572,450,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.3951,0.1147,0.3957,0.3055,0.0746,0.3053,1.0388
lonquen/original/gpt-4o-mini,572,450,chunks,distiluse-base-multilingual-cased-v1,512,64,0.5685,0.1366,0.5742,0.4624,0.0833,0.4647,0.6379
lonquen/original/gpt-4o,572,488,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.462,0.1207,0.468,0.3967,0.083,0.4022,0.9808
lonquen/original/gpt-4o,572,488,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.3844,0.1196,0.3854,0.3076,0.0798,0.3062,1.0758
lonquen/original/gpt-4o,572,488,chunks,distiluse-base-multilingual-cased-v1,512,64,0.5376,0.1416,0.5388,0.4488,0.0869,0.4499,0.6675
lonquen/original/o3-mini,572,484,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.4897,0.1259,0.4838,0.4051,0.0957,0.4094,0.9786
lonquen/original/o3-mini,572,484,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.41,0.1308,0.4171,0.3055,0.0857,0.3029,1.0815
lonquen/original/o3-mini,572,484,chunks,distiluse-base-multilingual-cased-v1,512,64,0.5558,0.1424,0.5542,0.4554,0.0931,0.4601,0.6461
lonquen/original/gpt-3,572,332,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.494,0.1125,0.4908,0.4166,0.0823,0.4119,0.877
lonquen/original/gpt-3,572,332,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.3995,0.1119,0.4034,0.3197,0.0828,0.3218,0.9449
lonquen/original/gpt-3,572,332,chunks,distiluse-base-multilingual-cased-v1,512,64,0.5751,0.1292,0.579,0.4792,0.0939,0.4811,0.5955
lonquen/original_res/gpt-4o-mini,572,400,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.4864,0.114,0.4872,0.4124,0.0811,0.416,0.9562
lonquen/original_res/gpt-4o-mini,572,400,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.3999,0.1159,0.3995,0.3055,0.0732,0.3046,1.0374
lonquen/original_res/gpt-4o-mini,572,400,chunks,distiluse-base-multilingual-cased-v1,512,64,0.5742,0.1369,0.5761,0.4612,0.0828,0.4638,0.6792
lonquen/original_res/gpt-4o,572,430,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.4721,0.1156,0.4738,0.4071,0.0805,0.4116,0.9221
lonquen/original_res/gpt-4o,572,430,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.3923,0.1179,0.3928,0.3085,0.0757,0.306,1.0653
lonquen/original_res/gpt-4o,572,430,chunks,distiluse-base-multilingual-cased-v1,512,64,0.5461,0.1373,0.5454,0.4502,0.0789,0.4527,0.6554
lonquen/original_res/o3-mini,572,443,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5023,0.1273,0.503,0.3993,0.0944,0.4063,0.9631
lonquen/original_res/o3-mini,572,443,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.424,0.1312,0.4355,0.3007,0.0842,0.2952,1.0309
lonquen/original_res/o3-mini,572,443,chunks,distiluse-base-multilingual-cased-v1,512,64,0.5746,0.1442,0.5765,0.4522,0.0923,0.4582,0.647
lonquen/original_res/gpt-3,572,286,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.4993,0.1118,0.4945,0.4171,0.0795,0.4146,0.8327
lonquen/original_res/gpt-3,572,286,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4034,0.1091,0.4061,0.3265,0.08,0.3278,0.9068
lonquen/original_res/gpt-3,572,286,chunks,distiluse-base-multilingual-cased-v1,512,64,0.5795,0.1266,0.5792,0.4801,0.0868,0.487,0.5804
