name,n_original_sents,n_generated_sents,split_type,model_name,emb_dimension,batch_size,SCORE_left,SCORE_left_stdev,SCORE_left_median,SCORE_right,SCORE_right_stdev,SCORE_right_median,execution_time
san_gregorio/langchain/gpt-4o-mini,186,60,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6232,0.1288,0.6235,0.4811,0.0799,0.4759,0.9825
san_gregorio/langchain/gpt-4o-mini,186,60,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5623,0.1535,0.5543,0.3823,0.0885,0.365,0.5341
san_gregorio/langchain/gpt-4o-mini,186,60,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7386,0.1374,0.7446,0.5734,0.0715,0.5682,0.3205
san_gregorio/langchain/gpt-4o,186,67,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6327,0.1281,0.6403,0.4969,0.0785,0.4864,1.0678
san_gregorio/langchain/gpt-4o,186,67,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5747,0.1534,0.5632,0.4012,0.0488,0.4096,0.6343
san_gregorio/langchain/gpt-4o,186,67,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7275,0.1447,0.7185,0.5566,0.0558,0.563,0.3726
san_gregorio/langchain/o3-mini,186,97,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.581,0.1395,0.5803,0.4391,0.0871,0.4369,1.0251
san_gregorio/langchain/o3-mini,186,97,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5113,0.1637,0.515,0.3327,0.0869,0.3321,0.6098
san_gregorio/langchain/o3-mini,186,97,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6784,0.1645,0.6746,0.5089,0.1051,0.5164,0.3632
san_gregorio/original/gpt-4o-mini,186,434,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5275,0.1194,0.5268,0.5051,0.0862,0.5045,1.2262
san_gregorio/original/gpt-4o-mini,186,434,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4373,0.1373,0.4192,0.3819,0.0803,0.3816,0.858
san_gregorio/original/gpt-4o-mini,186,434,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6029,0.1404,0.589,0.5565,0.0837,0.5579,0.4715
