name,n_original_sents,n_generated_sents,split_type,model_name,emb_dimension,batch_size,SCORE_left,SCORE_left_stdev,SCORE_left_median,SCORE_right,SCORE_right_stdev,SCORE_right_median,execution_time
san_gregorio/neighbors/langchain/gpt-4o-mini,186,54,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6362,0.1144,0.6427,0.548,0.085,0.5552,0.9897
san_gregorio/neighbors/langchain/gpt-4o-mini,186,54,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5641,0.1424,0.5621,0.4821,0.1283,0.4545,0.5398
san_gregorio/neighbors/langchain/gpt-4o-mini,186,54,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7338,0.1383,0.7475,0.6109,0.1118,0.603,0.3415
san_gregorio/neighbors/langchain/gpt-4o,186,69,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6257,0.1138,0.6298,0.5935,0.0768,0.6355,1.2651
san_gregorio/neighbors/langchain/gpt-4o,186,69,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5654,0.1392,0.5543,0.5318,0.1151,0.5428,0.787
san_gregorio/neighbors/langchain/gpt-4o,186,69,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7371,0.135,0.7342,0.6511,0.0921,0.6475,0.4591
san_gregorio/neighbors/langchain/o3-mini,186,86,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.569,0.1346,0.5728,0.5315,0.1075,0.5532,1.3311
san_gregorio/neighbors/langchain/o3-mini,186,86,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.511,0.1519,0.5132,0.461,0.1488,0.43,0.8104
san_gregorio/neighbors/langchain/o3-mini,186,86,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6832,0.1566,0.6849,0.5908,0.1296,0.5913,0.4531
san_gregorio/neighbors/original/gpt-4o-mini,186,195,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5434,0.112,0.5408,0.5069,0.0874,0.5,1.6644
san_gregorio/neighbors/original/gpt-4o-mini,186,195,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4673,0.1314,0.4476,0.4129,0.1014,0.3872,1.1187
san_gregorio/neighbors/original/gpt-4o-mini,186,195,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6307,0.1437,0.6241,0.5593,0.0975,0.5578,0.618
san_gregorio/neighbors/original/gpt-4o,186,185,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5403,0.1234,0.5452,0.4937,0.0967,0.4868,1.4829
san_gregorio/neighbors/original/gpt-4o,186,185,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4731,0.1468,0.4552,0.4125,0.1197,0.3812,0.9545
san_gregorio/neighbors/original/gpt-4o,186,185,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6302,0.1615,0.6348,0.5456,0.1087,0.537,0.5652
san_gregorio/neighbors/original/o3-mini,186,169,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5554,0.1121,0.546,0.5267,0.0983,0.5335,1.573
san_gregorio/neighbors/original/o3-mini,186,169,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4813,0.1353,0.463,0.4628,0.1294,0.4241,0.9917
san_gregorio/neighbors/original/o3-mini,186,169,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6476,0.1428,0.6445,0.5953,0.1145,0.5903,0.5395
san_gregorio/neighbors/original/gpt-3.5-turbo,186,151,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5607,0.1066,0.5522,0.5169,0.0894,0.5113,1.4941
san_gregorio/neighbors/original/gpt-3.5-turbo,186,151,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4749,0.1348,0.4584,0.4418,0.1214,0.4018,0.9588
san_gregorio/neighbors/original/gpt-3.5-turbo,186,151,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6409,0.1461,0.6479,0.5728,0.113,0.5589,0.5836
san_gregorio/neighbors/original_res/gpt-4o-mini,186,180,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5466,0.1068,0.546,0.51,0.0865,0.5052,1.5371
san_gregorio/neighbors/original_res/gpt-4o-mini,186,180,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4679,0.1304,0.4514,0.4172,0.1029,0.3916,0.9342
san_gregorio/neighbors/original_res/gpt-4o-mini,186,180,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6282,0.1439,0.6283,0.5617,0.1022,0.5637,0.5762
san_gregorio/neighbors/original_res/gpt-4o,186,170,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5472,0.1224,0.5541,0.4956,0.0979,0.4945,1.5476
san_gregorio/neighbors/original_res/gpt-4o,186,170,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4713,0.1446,0.4551,0.419,0.1196,0.3868,0.9703
san_gregorio/neighbors/original_res/gpt-4o,186,170,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6348,0.1532,0.6365,0.5489,0.1092,0.5368,0.5531
san_gregorio/neighbors/original/o3-mini,186,169,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5554,0.1121,0.546,0.5267,0.0983,0.5335,1.5751
san_gregorio/neighbors/original/o3-mini,186,169,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4813,0.1353,0.463,0.4628,0.1294,0.4241,1.022
san_gregorio/neighbors/original/o3-mini,186,169,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6476,0.1428,0.6445,0.5953,0.1145,0.5903,0.571
san_gregorio/neighbors/original/gpt-3.5-turbo,186,151,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5607,0.1066,0.5522,0.5169,0.0894,0.5113,1.5276
